academic_structure,component,required_credits,source_row
Struct_2024,University Core,18,3
Struct_2024,Foundation,34,4
Struct_2024,Program Core,46,5
Struct_2024,Program Honors,20,6
Struct_2024,Specialization Tracks,20,7
Struct_2024,Minor/Open,24,8
Struct_2024,Internship/Capstone Project,18,9
Struct_2024,Total Credits,180,10
Struct_2025,University Core,24,3
Struct_2025,Foundation,24,4
Struct_2025,Program Core,46,5
Struct_2025,Program Honors,20,6
Struct_2025,Specialization Tracks,20,7
Struct_2025,Minor/Open,32,8
Struct_2025,Internship/Capstone Project,14,9
Struct_2025,Total Credits,180,10
Struct_2026_DS,University Core,18,3
Struct_2026_DS,Foundation,26,4
Struct_2026_DS,Program Core,50,5
Struct_2026_DS,Program Honors,20,6
Struct_2026_DS,Electives,20,7
Struct_2026_DS,Minor/Open,32,8
Struct_2026_DS,Internship/Capstone Project,14,9
Struct_2026_DS,Total Credits,180,10
